COD_REG,Arquivo,Média de Precipitação,Média de Temperatura Máxima,Média de Temperatura Mínima,Média de Umidade Relativa Máxima,Média de Umidade Relativa Mínima,PRECIPITAÇÃO NORMALIZADA,TEMP MAX NORMALIZADA,TEMP MIN NORMALIZADA,UMIDADE MAX NORMALIZADA,UMIDADE MIN NORMALIZADA
1,1-2019-BRAZLANDIA.csv,0.17324825711922487,23.11398345153664,21.680650118203307,64.98345153664303,58.430023640661936,0.002906849951664847,0.4984673809164529,0.5036004517055049,0.6307553754362265,0.5631398097751389
2,2-2019-AGUAS EMENDADAS.csv,0.15724454649827782,22.669062105383997,21.04932502596054,70.16014234875445,63.452646079669385,0.0028079383303263898,0.5301757675480554,0.5178969543355033,0.6960016746912289,0.6215423962752256
3,3-2019-BRASILIA.csv,0.15661024702653245,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561,0.003608531037477707,0.5219148592648405,0.5224299004094612,0.6576863590816017,0.5945314074388763
4,4-2019-GAMA.csv,0.14245918483845188,23.24292727480306,21.505708414202537,68.0324237926704,60.653841762758304,0.0032824696967385224,0.568017995727067,0.548809319937588,0.6747956254961675,0.6052165719857276
5,5-2019-PARANOA.csv,0.1361228934999427,23.05207473635947,21.487058688674924,71.2800875273523,64.21950938615686,0.002896231776594525,0.5188042972419277,0.5132179877911733,0.6698860635327851,0.6002242458178949
6,6-2019-CAMPOSDOSGOYTACAZES.csv,0.12189497716894977,24.919456496917103,23.800742178579583,77.80315140443024,72.85042247088376,0.004036257522150655,0.4708581226988458,0.4963774517729775,0.758255991110899,0.71027975987512
7,7-2019-ANGRADOSREIS.csv,0.27723791014061966,24.19211067916762,23.157214726732217,86.13400411616739,80.71941458952664,0.0036866743369763253,0.4433494792424588,0.4546469477844951,0.8162000588023914,0.7686001846775524
8,8-2019-RIODEJANEIRO.csv,0.2006394153916419,24.63562128825948,23.68507309273641,79.99414129810454,75.68213670304422,0.002802226471950306,0.4337680237019165,0.42780985167022495,0.7221408513625629,0.6921789456081547
9,9-2019-VALENCA.csv,0.10103573278094252,22.90660495943321,21.70252542566564,79.67192320877614,74.29048108787568,0.0032592171864820165,0.49526749041033685,0.49188607953002095,0.7833990401097017,0.7263913384081405
