COD_REG,Arquivo,Mínimo de Precipitação,Máximo de Precipitação,Mínimo de Temperatura Máxima,Máximo de Temperatura Máxima,Mínimo de Temperatura Mínima,Máximo de Temperatura Mínima,Mínimo de Umidade Relativa Máxima,Máximo de Umidade Relativa Máxima,Mínimo de Umidade Relativa Mínima,Máximo de Umidade Relativa Mínima
1,1-2022-BRAZLANDIA.csv,0.0,44.6,6.1,33.5,5.6,31.7,9.0,96.0,11.0,96.0
2,2-2022-AGUAS EMENDADAS.csv,0.0,56.8,4.8,35.2,3.3,32.7,13.0,95.0,11.0,95.0
3,3-2022-BRASILIA.csv,0.0,46.2,6.0,33.5,5.1,31.9,13.0,96.0,12.0,96.0
4,4-2022-GAMA.csv,0.0,27.8,3.2,35.0,1.4,33.6,11.0,94.0,9.0,94.0
5,5-2022-PARANOA.csv,0.0,34.8,4.6,34.5,4.1,32.6,14.0,99.0,13.0,99.0
6,6-2022-CAMPOSDOSGOYTACAZES.csv,0.0,36.8,12.4,37.3,11.5,35.8,25.0,95.0,21.0,95.0
7,7-2022-ANGRADOSREIS.csv,0.0,46.2,12.8,38.4,11.7,36.3,28.0,100.0,24.0,100.0
8,8-2022-RIODEJANEIRO.csv,0.0,60.4,15.8,36.8,15.2,35.8,22.0,100.0,16.0,100.0
9,9-2022-VALENCA.csv,0.0,54.0,6.7,35.8,5.8,34.0,21.0,97.0,19.0,97.0
