Semana epidemiológica dos sintomas,Casos notificados,Ano,Regiao
1,5,019,AR
2,10,019,AR
3,8,019,AR
4,4,019,AR
5,9,019,AR
6,4,019,AR
7,6,019,AR
8,7,019,AR
9,12,019,AR
10,8,019,AR
11,14,019,AR
12,25,019,AR
13,50,019,AR
14,134,019,AR
15,127,019,AR
16,171,019,AR
17,219,019,AR
18,189,019,AR
19,160,019,AR
20,175,019,AR
21,101,019,AR
22,71,019,AR
23,50,019,AR
24,38,019,AR
25,33,019,AR
26,27,019,AR
27,25,019,AR
28,12,019,AR
29,11,019,AR
30,11,019,AR
31,12,019,AR
32,8,019,AR
33,6,019,AR
34,3,019,AR
35,4,019,AR
36,1,019,AR
37,3,019,AR
38,2,019,AR
39,0,019,AR
40,0,019,AR
41,0,019,AR
42,2,019,AR
43,2,019,AR
44,0,019,AR
45,1,019,AR
46,1,019,AR
47,0,019,AR
48,0,019,AR
49,0,019,AR
50,0,019,AR
51,1,019,AR
52,2,019,AR
1,6,020,AR
2,5,020,AR
3,8,020,AR
4,6,020,AR
5,11,020,AR
6,10,020,AR
7,7,020,AR
8,10,020,AR
9,11,020,AR
10,7,020,AR
11,6,020,AR
12,7,020,AR
13,4,020,AR
14,5,020,AR
15,2,020,AR
16,3,020,AR
17,7,020,AR
18,8,020,AR
19,6,020,AR
20,7,020,AR
21,3,020,AR
22,1,020,AR
23,1,020,AR
24,3,020,AR
25,3,020,AR
26,1,020,AR
27,2,020,AR
28,3,020,AR
29,5,020,AR
30,2,020,AR
31,2,020,AR
32,1,020,AR
33,0,020,AR
34,0,020,AR
35,2,020,AR
36,2,020,AR
37,0,020,AR
38,1,020,AR
39,1,020,AR
40,1,020,AR
41,0,020,AR
42,1,020,AR
43,0,020,AR
44,3,020,AR
45,3,020,AR
46,1,020,AR
47,1,020,AR
48,1,020,AR
49,2,020,AR
50,1,020,AR
51,2,020,AR
52,2,020,AR
1,1,021,AR
2,0,021,AR
3,1,021,AR
4,0,021,AR
5,1,021,AR
6,4,021,AR
7,1,021,AR
8,1,021,AR
9,1,021,AR
10,0,021,AR
11,4,021,AR
12,2,021,AR
13,5,021,AR
14,12,021,AR
15,2,021,AR
16,5,021,AR
17,6,021,AR
18,3,021,AR
19,3,021,AR
20,4,021,AR
21,2,021,AR
22,6,021,AR
23,3,021,AR
24,1,021,AR
25,3,021,AR
26,2,021,AR
27,3,021,AR
28,1,021,AR
29,3,021,AR
30,4,021,AR
31,4,021,AR
32,0,021,AR
33,0,021,AR
34,0,021,AR
35,0,021,AR
36,0,021,AR
37,0,021,AR
38,1,021,AR
39,3,021,AR
40,1,021,AR
41,2,021,AR
42,0,021,AR
43,0,021,AR
44,0,021,AR
45,0,021,AR
46,1,021,AR
47,1,021,AR
48,2,021,AR
49,1,021,AR
50,2,021,AR
51,0,021,AR
52,2,021,AR
1,2,022,AR
2,2,022,AR
3,0,022,AR
4,0,022,AR
5,3,022,AR
6,4,022,AR
7,4,022,AR
8,3,022,AR
9,2,022,AR
10,1,022,AR
11,5,022,AR
12,0,022,AR
13,5,022,AR
14,3,022,AR
15,11,022,AR
16,30,022,AR
17,41,022,AR
18,58,022,AR
19,81,022,AR
20,65,022,AR
21,33,022,AR
22,16,022,AR
23,24,022,AR
24,11,022,AR
25,8,022,AR
26,9,022,AR
27,6,022,AR
28,5,022,AR
29,7,022,AR
30,3,022,AR
31,0,022,AR
32,4,022,AR
33,1,022,AR
34,2,022,AR
35,1,022,AR
36,2,022,AR
37,2,022,AR
38,1,022,AR
39,1,022,AR
40,4,022,AR
41,3,022,AR
42,6,022,AR
43,4,022,AR
44,3,022,AR
45,3,022,AR
46,6,022,AR
47,2,022,AR
48,8,022,AR
49,1,022,AR
50,1,022,AR
51,0,022,AR
52,7,022,AR
1,9,023,AR
2,11,023,AR
3,11,023,AR
4,11,023,AR
5,25,023,AR
6,28,023,AR
7,40,023,AR
8,54,023,AR
9,92,023,AR
10,110,023,AR
11,165,023,AR
12,136,023,AR
13,124,023,AR
14,131,023,AR
15,103,023,AR
16,134,023,AR
17,127,023,AR
18,113,023,AR
19,144,023,AR
20,114,023,AR
21,58,023,AR
22,60,023,AR
23,59,023,AR
24,64,023,AR
25,45,023,AR
26,39,023,AR
27,27,023,AR
28,19,023,AR
29,27,023,AR
30,22,023,AR
31,34,023,AR
32,40,023,AR
33,33,023,AR
34,40,023,AR
35,26,023,AR
36,21,023,AR
37,48,023,AR
38,46,023,AR
39,44,023,AR
40,44,023,AR
41,63,023,AR
42,41,023,AR
43,36,023,AR
44,41,023,AR
45,35,023,AR
46,55,023,AR
47,59,023,AR
48,66,023,AR
49,47,023,AR
50,91,023,AR
51,94,023,AR
52,142,023,AR
